FID,CountryRegion,StateArea,Location,SurveyID,SiteCode,SiteName,SiteLatitude,SiteLongitude,Depth,SurveyDate,IsLatestForSite,HasPQScores,HasRugosityScores,HasPQs,Divers,Visibility,AvgRugosity,MaxRugosity,geom,PQZipUrl,Hour,Direction
SurveyList.1003253,United States,Washington,Washington,1003253,USWC1,Sund Rock  WA,47.43,-123.12,9,2010-07-30T14:00:00Z,Yes,Yes,No,Yes,Graham Edgar,,,,POINT (-123.12 47.43),http://rls.tpac.org.au/pq/1003253/zip/,,S
SurveyList.1003254,United States,California,Channel Islands Marine Sanctuary,1003254,USWC2,Scorpion Anchorage  Sta Cruz CA,34.05,-119.55,5.4,2010-08-15T14:00:00Z,Yes,Yes,No,Yes,Graham Edgar,,,,POINT (-119.55 34.05),http://rls.tpac.org.au/pq/1003254/zip/,,W
SurveyList.1003255,United States,California,Channel Islands Marine Sanctuary,1003255,USWC3,South Point  Sta Rosa CA,33.89,-120.12,11.1,2010-08-16T14:00:00Z,Yes,Yes,No,Yes,Graham Edgar,,,,POINT (-120.12 33.89),http://rls.tpac.org.au/pq/1003255/zip/,,E
SurveyList.1003256,United States,California,Channel Islands Marine Sanctuary,1003256,USWC4,Chickasaw  Sta Rosa CA,33.9,-120.14,11.1,2010-08-17T14:00:00Z,Yes,Yes,No,Yes,Graham Edgar,,,,POINT (-120.14 33.9),http://rls.tpac.org.au/pq/1003256/zip/,,E
SurveyList.1003257,United States,California,Channel Islands Marine Sanctuary,1003257,USWC5,Johnson s Lee  Sta Rosa CA,33.9,-120.1,13.5,2010-08-18T14:00:00Z,Yes,Yes,No,Yes,Graham Edgar,,,,POINT (-120.1 33.9),http://rls.tpac.org.au/pq/1003257/zip/,,W
SurveyList.1003258,United States,California,Channel Islands Marine Sanctuary,1003258,USWC6,Johnsons Lee North  Sta Rosa CA,33.9,-120.1,9.1,2010-08-18T14:00:00Z,Yes,Yes,No,Yes,Graham Edgar,,,,POINT (-120.1 33.9),http://rls.tpac.org.au/pq/1003258/zip/,,W
SurveyList.1003259,United States,California,Channel Islands Marine Sanctuary,1003259,USWC7,Pedro Reef  Santa Cruz,34.04,-119.53,9.1,2010-08-19T14:00:00Z,Yes,No,No,Yes,"David Kushner, Graham Edgar",,,,POINT (-119.53 34.04),http://rls.tpac.org.au/pq/1003259/zip/,,S
SurveyList.1003260,United States,Massachusetts,Massachusetts,1003260,USEC1,Folly Cove MA,42.69,-70.64,5,2010-08-21T14:00:00Z,No,Yes,Yes,No,Graham Edgar,,2,3,POINT (-70.64 42.69),,,
SurveyList.1003261,United States,Maine,Maine,1003261,USEC2,Mackerel Cove  Baileys I ME,43.73,-70,3,2010-08-23T14:00:00Z,Yes,Yes,Yes,Yes,Graham Edgar,,1,3,POINT (-70 43.73),http://rls.tpac.org.au/pq/1003261/zip/,,SW
SurveyList.1003262,United States,Maine,Maine,1003262,USEC3,Mackerel Cove  Baileys I ME,43.73,-70,6,2010-08-23T14:00:00Z,Yes,Yes,Yes,Yes,Graham Edgar,,2,3,POINT (-70 43.73),http://rls.tpac.org.au/pq/1003262/zip/,,SW
